group,participant,a025,a500,a975,p025,p500,p975
30implicit,1,32.3204239145876,33.6929028712841,35.252069187433,33.8630197451583,35.0224789689028,36.3585395683172
30implicit,2,3.46360495997157,3.52519293046457,3.59804745951466,2.89857493032301,2.95741220799059,3.00051360467151
30implicit,3,29.3958007104727,29.8141675000942,30.2758349960611,29.0117404520918,29.3435772225919,29.8032000198907
30implicit,4,20.2346679923386,20.6820603586541,21.1962048571065,14.9257092650662,15.1253651619141,15.3475845314166
30implicit,5,24.4813651172284,24.7941739568621,25.1711788757527,28.3146759524093,28.6994919610198,28.9699721686393
30implicit,6,12.9081969063076,13.4897550285574,13.9873773377826,14.1177248940837,14.7314689923882,15.2920066376997
30implicit,7,24.1642203295755,24.6703710415377,25.1021238584947,22.7481268707478,23.0588288187873,23.3499710870815
30implicit,8,28.5926541897221,29.2825423794264,29.8173254210466,28.0055684202031,28.6894768698663,29.3020495850124
30implicit,9,62.6067871411686,63.7378191525163,64.465894993122,67.0040338041737,68.1219945159764,69.1803631605831
30implicit,10,2.77006029257969,2.84908713096009,2.91903476686699,2.18868319871288,2.24944987931996,2.33099937561641
30implicit,11,93.1830324825489,94.8602905858173,96.6866542507309,99.1815329035732,101.98834463459,104.13749245323
30implicit,12,45.9957701805051,46.6855519481022,47.3422957836872,47.3663922009449,48.145210172911,48.5217648303832
30implicit,13,22.9889139053701,23.6427826065254,24.5168942322562,21.8348567729379,22.3351759010401,22.9470246893787
30implicit,14,16.1398015871902,16.5256053213207,16.7688138553555,13.5625393777646,13.8670574196967,14.1846574955901
30implicit,15,19.7166066043106,20.0558627078921,20.2889082132521,19.7246854016131,20.1165134595782,20.3813060219705
30implicit,16,51.8011775222877,52.309384013391,53.1415886493234,47.0999070908059,47.8064589133476,48.3697819330334
30implicit,17,15.4186661688599,15.6492182785751,15.847417807854,19.5480006281299,19.8114334159113,20.1610456473281
30implicit,18,14.8692646504446,15.1882687442502,15.5856002421026,15.6076550513995,15.9987807462715,16.3260566124493
30implicit,19,43.8008139690724,44.4139644300061,45.3538821558009,47.224789898852,47.965480466527,49.06021947618
30implicit,20,38.664809240544,39.6974973691427,40.5648160089892,37.2245436650435,38.2296989629892,38.8019134780156
30explicit,21,3.41085127920161,3.56330624478255,3.6748205307899,3.33002703707188,3.4989790540742,3.61102854273655
30explicit,22,38.1726808716684,38.7059883802838,39.367447721939,33.640975245686,34.3212529967917,34.8804684929678
30explicit,23,34.225219462201,35.3979916626743,36.2544738586252,41.4690369784086,42.518879293409,43.4667136571475
30explicit,24,59.1741251476654,60.126329847838,61.1241959602276,59.6730177055146,60.7842593843792,61.804785182985
30explicit,25,32.3912819219735,33.4983865083385,34.7277655561847,37.2527482137695,38.0621960157837,39.6236488406949
30explicit,26,14.2241828802419,14.623250138567,14.9241565887172,13.2706611945105,13.7450073961773,14.0679227322457
30explicit,27,5.86853274239037,5.97023986417873,6.08152269131668,4.81833585587653,4.91512483252283,5.03331361551065
30explicit,28,18.2719568417749,18.7626972196339,19.2622705272559,17.776767855471,18.2991454985043,18.6769504769002
30explicit,29,64.3006105106845,65.0934555876295,66.245314343521,66.82351705781,68.1950635700109,69.3723233713125
30explicit,30,55.974262125515,57.4646317218707,59.698429028013,48.1326764283498,49.1033500527992,50.4607108878836
30explicit,31,7.94633247826473,8.12399487339403,8.27045524335719,7.07439709507749,7.2211580713141,7.34242453769533
30explicit,32,3.86110656468438,3.96506647346173,4.13168499054592,4.40285947135876,4.55167231812093,4.6478972010792
30explicit,33,34.7739682756067,35.8575374466051,36.6547949446686,33.5325435124379,34.0822560837706,34.6646802978896
30explicit,34,16.0422607814916,16.3451553612622,16.6600632386913,16.4576664752765,16.6891189329815,16.9078532882372
30explicit,35,19.3090508923567,19.6236732129504,19.9630152443651,21.7461826877512,22.170981003107,22.4693458644113
30explicit,36,5.19445512839269,5.3386530855984,5.47229835152786,6.34459328328809,6.50940879271732,6.65769121947786
30explicit,37,11.4245465287908,11.6271666377438,11.8519770979542,12.328559838837,12.6069042439799,12.9082416547299
30explicit,38,11.7714863562717,12.0059486471047,12.2604692833403,10.2122403181156,10.4457425346415,10.6438766392084
30explicit,39,2.57888154392731,2.64244584663675,2.74881079156214,2.1294165165223,2.17822349861878,2.2353921881786
30explicit,40,32.4297085383426,33.1704860656007,33.7542742253479,32.1232272121682,32.9070082738798,33.4943698178116
30explicit,41,68.2211976114192,70.5444079694959,72.7356279176256,66.2490692817817,69.121938253568,72.7990768872648
