agegroup,group,participant,block,trial,active_bool,handangle_deg,localization_deg,RT_ms
aging,aging_implicit,42,3,382,1,124.552988902799,109.412246127296,4217
aging,aging_implicit,42,3,383,1,100.851314226766,81.1164195392745,4009
aging,aging_implicit,42,3,384,1,75.6536747035145,53.2666786036068,4123
aging,aging_implicit,42,3,385,1,88.7797137980441,64.3231471335506,3683
aging,aging_implicit,42,3,386,1,62.0805948131784,34.0364157552403,3957
aging,aging_implicit,42,3,387,1,131.643289666175,118.849607159584,3649
aging,aging_implicit,42,3,388,1,134.200067603661,120.664978832272,3569
aging,aging_implicit,42,3,389,1,62.2332139667917,34.677187595142,5376
aging,aging_implicit,42,3,390,1,94.9265548453717,72.3875530460539,3821
aging,aging_implicit,42,3,391,1,130.525552856168,117.585076084391,3419
aging,aging_implicit,42,3,392,1,113.270295203412,93.4993818154805,3649
aging,aging_implicit,42,3,393,1,72.6199931312917,50.7214605364705,3594
aging,aging_implicit,42,3,394,1,108.926192711414,88.8453352739678,3550
aging,aging_implicit,42,3,395,1,103.300796781968,83.6153005102689,3794
aging,aging_implicit,42,3,396,1,62.7314305703691,34.337412704232,3869
aging,aging_implicit,42,4,523,1,108.732438913821,88.2089552008332,4973
aging,aging_implicit,42,4,524,1,69.8693571678726,46.4233127627043,3940
aging,aging_implicit,42,4,525,1,103.017429060883,83.4751865270067,4029
aging,aging_implicit,42,4,526,1,64.9656752694336,38.0000503896308,3942
aging,aging_implicit,42,4,527,1,105.942320752145,85.9918788802565,4670
aging,aging_implicit,42,4,528,1,92.5110645298712,67.2220070370247,4472
aging,aging_implicit,42,4,529,1,112.380626814793,91.9400028915954,4049
aging,aging_implicit,42,4,530,1,110.793240550898,90.3123458449735,3949
aging,aging_implicit,42,4,531,1,75.2136302526497,52.8009286790864,3804
aging,aging_implicit,42,4,532,1,88.2463835082703,62.987642131968,3649
aging,aging_implicit,42,4,533,1,78.1953296191097,55.4145961096828,3854
aging,aging_implicit,42,4,534,1,111.877929744097,91.7906971885032,3654
aging,aging_implicit,42,4,535,1,69.3123414295652,45.6310984646095,3949
aging,aging_implicit,42,4,536,1,94.6942782307065,70.3182752152779,3389
aging,aging_implicit,42,4,537,1,112.66403802335,92.6122846593688,3726
aging,aging_implicit,42,4,538,1,110.42709437501,90.1786523004368,4879
aging,aging_implicit,42,4,539,1,66.2287096582402,40.6812368478894,3529
aging,aging_implicit,42,4,540,1,90.0748716236061,64.2355634715251,3370
aging,aging_implicit,42,1,140,0,139.048851480978,130.092262942578,3688
aging,aging_implicit,42,1,141,0,74.8409188006726,52.3462111239466,2930
