agegroup,group,participant,block,trial,active_bool,handangle_deg,localization_deg,RT_ms
cntrl,30implicit,1,1,91,1,68.1495342698792,63.1960241949348,3675
cntrl,30implicit,1,1,93,1,123.824827776226,119.807068259319,2464
cntrl,30implicit,1,1,94,1,61.9517941541478,59.3150781819376,1926
cntrl,30implicit,1,1,95,1,110.079310268487,103.129789439168,1779
cntrl,30implicit,1,1,96,1,132.560586401084,128.167830054181,1559
cntrl,30implicit,1,1,97,1,53.9048729874341,56.4327956935883,1800
cntrl,30implicit,1,1,98,1,114.698541534673,106.399924221719,2306
cntrl,30implicit,1,1,99,1,127.266820029074,124.173847584592,1608
cntrl,30implicit,1,1,100,1,81.2950841033065,81.2257002086352,2512
cntrl,30implicit,1,1,101,1,71.0007631460842,65.4152313796581,2116
cntrl,30implicit,1,1,102,1,125.995789314874,122.799760678921,1599
cntrl,30implicit,1,1,103,1,107.483555683661,101.409828431206,2514
cntrl,30implicit,1,1,104,1,61.7966010545163,59.4225219129037,2886
cntrl,30implicit,1,1,105,1,115.376398873336,107.150837153439,2096
cntrl,30implicit,1,1,106,1,55.8356928535718,58.1112686254008,2680
cntrl,30implicit,1,1,107,1,103.566982410762,102.796410296176,1781
cntrl,30implicit,1,1,108,1,119.96840189028,113.258216474925,1977
cntrl,30implicit,1,2,235,1,59.3571974706588,58.8306441930071,3146
cntrl,30implicit,1,2,236,1,109.727730728252,102.959833491808,2407
cntrl,30implicit,1,2,237,1,136.046499699467,129.492280430109,1817
cntrl,30implicit,1,2,239,1,115.822455035294,107.712139675931,1639
cntrl,30implicit,1,2,240,1,135.533781552136,129.308745999116,1579
cntrl,30implicit,1,2,241,1,75.5188015194496,72.1483405544099,1711
cntrl,30implicit,1,2,242,1,122.196063727358,117.159809752707,2387
cntrl,30implicit,1,2,243,1,87.506480441982,92.5743249164563,4887
cntrl,30implicit,1,2,244,1,68.8361948365991,63.2529508088988,2375
cntrl,30implicit,1,2,245,1,125.437093745885,121.964053529823,1679
cntrl,30implicit,1,2,246,1,88.0284405321608,93.3965468317381,1777
cntrl,30implicit,1,2,247,1,152.339303506526,132.731826665188,2687
cntrl,30implicit,1,2,248,1,78.0143495813438,76.8585198728022,2972
cntrl,30implicit,1,2,249,1,107.738845581976,102.688739608213,3040
cntrl,30implicit,1,2,250,1,67.9918438875481,63.0531072958473,2362
cntrl,30implicit,1,2,251,1,123.605433567017,119.166823907321,1940
cntrl,30implicit,1,2,252,1,77.721780084348,74.4508412939237,1682
cntrl,30implicit,1,3,379,1,134.77067636637,128.843303063099,4299
cntrl,30implicit,1,3,381,1,94.2451854710807,100.006011411545,1819
cntrl,30implicit,1,3,382,1,149.65842154433,131.369762601645,2399
cntrl,30implicit,1,3,383,1,78.7083808434474,77.9874525606624,1898
cntrl,30implicit,1,3,384,1,113.248450848468,104.737409606424,1769
cntrl,30implicit,1,3,385,1,147.678985604906,131.292582464018,1879
cntrl,30implicit,1,3,387,1,116.805479268118,108.958497270017,1699
cntrl,30implicit,1,3,388,1,115.199321595809,106.706980427601,1699
cntrl,30implicit,1,3,389,1,133.121634126794,128.503981662895,1699
cntrl,30implicit,1,3,393,1,133.814055120258,128.806136902066,1600
